rn,strata,title,time,event_rr3,censor_rr3,at_risk_rr3,stderr,std.chaz
50,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,49,12,9,417,0.039766179,0.039150132
51,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,50,S,S,396,0.040087237,0.039472929
52,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,51,S,S,393,0.040578809,0.039964464
53,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,52,S,S,381,0.041006613,0.040393104
54,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,53,S,S,372,0.041361353,0.04074933
55,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,54,S,S,363,0.041821336,0.041209767
56,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,55,S,S,357,0.042105778,0.041495978
57,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,56,S,S,351,0.042398091,0.041790022
58,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,57,S,S,342,0.042702154,0.042095782
59,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,58,12,S,333,0.043886912,0.043257984
60,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,59,S,S,315,0.044579261,0.04394701
61,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,60,S,9,306,0.045188,0.044554334
62,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,61,S,9,294,0.045576989,0.044944786
63,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,62,S,S,282,0.045993391,0.04536252
64,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,63,S,S,276,0.04642421,0.045794549
65,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,64,S,S,267,0.046873592,0.046244995
66,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,65,S,S,261,0.047346436,0.04671872
67,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,66,S,S,252,0.047346436,0.04671872
68,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,67,S,S,249,0.047517142,0.046891018
69,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,68,S,9,243,0.048242389,0.047613747
70,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,69,S,9,231,0.048437071,0.047810137
71,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,70,S,S,219,0.048650851,0.048025726
72,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,71,S,9,213,0.0488758,0.048252527
73,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,72,S,S,204,0.049374688,0.04875284
74,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,73,S,6,195,0.050179558,0.049555372
75,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,74,S,S,186,0.050764786,0.050141517
76,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,75,S,S,177,0.051715302,0.05108747
77,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,76,S,S,168,0.05275128,0.052117388
78,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,77,S,S,159,0.053127237,0.0524955
79,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,78,S,S,156,0.053525176,0.052895587
80,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,79,S,S,147,0.053958674,0.053331231
81,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,80,S,S,141,0.05442607,0.053800738
82,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,81,S,9,135,0.055951293,0.055309389
83,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,82,S,S,123,0.055951293,0.055309389
84,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,83,S,9,120,0.055951293,0.055309389
85,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,84,S,S,111,0.055951293,0.055309389
86,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,85,S,S,111,0.056705331,0.05606511
87,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,86,S,6,102,0.056705331,0.05606511
88,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,87,S,S,93,0.058667427,0.058007785
89,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,88,S,9,87,0.058667427,0.058007785
90,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,89,S,S,81,0.058667427,0.058007785
91,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,90,S,9,75,0.060183446,0.059520424
92,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,91,S,9,66,0.069467303,0.06823866
93,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,92,S,12,54,0.072031597,0.070799105
94,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,93,S,S,42,0.075955718,0.074695427
95,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,94,S,S,36,0.075955718,0.074695427
96,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,95,S,9,33,0.081952674,0.080608191
97,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,96,S,S,24,0.081952674,0.080608191
98,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,97,S,S,21,0.081952674,0.080608191
99,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,98,S,S,15,0.081952674,0.080608191
100,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,99,S,S,12,0.081952674,0.080608191
101,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,100,S,S,12,0.081952674,0.080608191
102,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,101,S,S,9,0.081952674,0.080608191
103,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,102,S,S,S,S,S
104,"eth_maori=TRUE, dep_index_ind=4_to_5 ",Learners to Restricted,106,S,S,S,S,S
1,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,0,S,S,1917,0,0
2,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,1,S,S,1914,0,0
3,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,2,S,S,1911,0,0
4,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,3,S,S,1911,0,0
5,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,4,S,S,1911,0,0
6,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,5,S,S,1905,0,0
7,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,6,81,S,1902,0.004864437,0.004758479
8,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,7,180,S,1821,0.009126591,0.00874298
9,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,8,129,S,1638,0.011599232,0.011122781
10,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,9,114,S,1512,0.013749953,0.013194161
11,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,10,99,S,1395,0.015617358,0.015001061
12,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,11,75,S,1293,0.01705436,0.016410186
13,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,12,81,S,1215,0.018698667,0.018004552
14,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,13,69,S,1134,0.020215024,0.019480073
15,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,14,57,S,1059,0.021525825,0.020765129
16,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,15,63,S,999,0.022988219,0.022188122
17,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,16,48,S,933,0.024222274,0.023400269
18,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,17,39,S,879,0.025286668,0.024452692
19,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,18,27,S,837,0.026064099,0.025230269
20,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,19,21,S,807,0.026694783,0.025864506
21,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,20,42,S,780,0.027992018,0.027132823
22,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,21,33,S,735,0.02911203,0.028236071
23,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,22,27,S,696,0.030165859,0.029276981
24,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,23,24,S,660,0.031096277,0.030200521
25,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,24,21,S,633,0.031950583,0.03105079
26,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,25,24,S,615,0.032884107,0.031976673
27,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,26,24,S,591,0.033909888,0.032990259
28,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,27,12,S,567,0.034467577,0.033551207
29,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,28,9,S,552,0.034900434,0.033988533
30,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,29,9,S,540,0.03524586,0.034338567
31,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,30,12,S,534,0.035804429,0.034899902
32,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,31,6,S,519,0.036170428,0.035270251
33,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,32,6,S,510,0.036599829,0.035703613
34,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,33,15,S,501,0.037322052,0.036424552
35,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,34,12,S,486,0.038013511,0.037115404
36,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,35,9,S,471,0.038490978,0.037596043
37,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,36,15,S,462,0.039423212,0.038519326
38,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,37,9,S,444,0.039946263,0.039044885
39,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,38,S,S,432,0.040284109,0.039386481
40,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,39,9,S,426,0.040767959,0.039873142
41,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,40,S,S,417,0.041051826,0.040160561
42,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,41,12,S,414,0.041999344,0.041098493
43,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,42,9,S,402,0.04260241,0.041702352
44,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,43,12,S,390,0.043462622,0.042556287
45,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,44,S,S,378,0.043868691,0.042965462
46,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,45,6,S,372,0.044536982,0.043633028
47,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,46,9,S,360,0.045236278,0.044330892
48,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,47,S,S,351,0.04569167,0.044788886
49,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,48,S,S,339,0.045977291,0.045077665
50,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,49,S,S,333,0.046475446,0.045578043
51,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,50,S,S,324,0.046784742,0.045890478
52,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,51,9,S,321,0.047530454,0.046633943
53,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,52,S,S,309,0.047971986,0.047078105
54,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,53,6,S,300,0.048902083,0.04800066
55,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,54,S,S,291,0.049389353,0.0484902
56,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,55,S,S,282,0.050024102,0.04912526
57,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,56,S,S,279,0.050283963,0.049387951
58,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,57,S,S,273,0.050554031,0.049660876
59,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,58,S,S,264,0.050982829,0.050092382
60,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,59,S,6,258,0.051873058,0.050977356
61,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,60,S,S,246,0.052679703,0.051781402
62,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,61,S,S,240,0.053186366,0.052290304
63,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,62,S,S,231,0.054063934,0.053163668
64,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,63,S,S,225,0.054424876,0.053527458
65,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,64,S,S,219,0.054615223,0.053720107
66,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,65,S,S,216,0.055424094,0.054527
67,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,66,S,S,207,0.056276289,0.055376392
68,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,67,S,S,198,0.05696245,0.056063068
69,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,68,S,6,192,0.057446705,0.056549896
70,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,69,S,9,183,0.058242687,0.057345091
71,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,70,S,S,168,0.058242687,0.057345091
72,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,71,S,S,162,0.05888539,0.057989826
73,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,72,S,12,156,0.059231063,0.058338577
74,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,73,S,S,147,0.060039771,0.059148241
75,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,74,S,S,138,0.060908124,0.060016904
76,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,75,S,S,135,0.06136701,0.060479091
77,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,76,S,9,129,0.061850952,0.060966319
78,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,77,S,6,117,0.061850952,0.060966319
79,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,78,S,S,111,0.063149647,0.062260186
80,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,79,S,S,105,0.063149647,0.062260186
81,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,80,S,9,105,0.063898839,0.063012621
82,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,81,S,S,93,0.064806934,0.063923475
83,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,82,S,S,87,0.065806954,0.064925672
84,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,83,S,S,81,0.06694111,0.066061062
85,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,84,S,6,78,0.069415374,0.068503978
86,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,85,S,S,69,0.072464568,0.071504369
87,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,86,S,S,66,0.074104644,0.073140695
88,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,87,S,S,57,0.074104644,0.073140695
89,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,88,S,S,57,0.074104644,0.073140695
90,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,89,S,S,54,0.076513678,0.075535156
91,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,90,S,S,48,0.079243379,0.078243549
92,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,91,S,S,45,0.082235059,0.081207405
93,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,92,S,S,39,0.082235059,0.081207405
94,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,93,S,S,36,0.082235059,0.081207405
95,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,94,S,S,33,0.0881514,0.087012673
96,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,95,S,S,24,0.097145952,0.09576641
97,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,96,S,S,18,0.11118144,0.109276202
98,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,97,S,S,15,0.11118144,0.109276202
99,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,98,S,S,15,0.11118144,0.109276202
100,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,99,S,S,12,0.11118144,0.109276202
101,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,101,S,S,12,0.11118144,0.109276202
102,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,102,S,S,9,0.173834564,0.166030986
103,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,103,S,S,S,S,S
104,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,104,S,S,S,S,S
105,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,105,S,S,S,S,S
106,"eth_maori=TRUE, dep_index_ind=1_to_3 ",Learners to Restricted,106,S,S,S,S,S
1,"eth_maori=TRUE, dep_index_ind=Unk    ",Learners to Restricted,7,S,S,15,0.155699789,0.133333333
2,"eth_maori=TRUE, dep_index_ind=Unk    ",Learners to Restricted,8,S,S,9,0.210818511,0.185220688
3,"eth_maori=TRUE, dep_index_ind=Unk    ",Learners to Restricted,9,S,S,6,0.249602859,0.22345403
4,"eth_maori=TRUE, dep_index_ind=Unk    ",Learners to Restricted,10,S,S,9,0.293446948,0.265216641
5,"eth_maori=TRUE, dep_index_ind=Unk    ",Learners to Restricted,12,S,S,S,S,S
6,"eth_maori=TRUE, dep_index_ind=Unk    ",Learners to Restricted,16,S,S,S,S,S
7,"eth_maori=TRUE, dep_index_ind=Unk    ",Learners to Restricted,18,S,S,S,S,S
8,"eth_maori=TRUE, dep_index_ind=Unk    ",Learners to Restricted,20,S,S,S,S,S
9,"eth_maori=TRUE, dep_index_ind=Unk    ",Learners to Restricted,25,S,S,S,S,S
1,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,0,S,24,19731,0,0
2,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,1,S,33,19707,0,0
3,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,2,S,30,19671,0,0
4,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,3,S,36,19641,0,0
5,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,4,S,36,19608,0,0
6,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,5,S,36,19569,0,0
7,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,6,759,36,19533,0.001436611,0.0014085
8,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,7,1542,27,18741,0.00261748,0.002525285
9,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,8,1290,18,17172,0.003402538,0.003278471
10,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,9,1104,18,15864,0.004035707,0.003889808
11,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,10,969,24,14745,0.004589977,0.004426818
12,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,11,906,45,13752,0.005117728,0.004937894
13,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,12,795,39,12801,0.005600971,0.005407443
14,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,13,747,51,11967,0.00607736,0.005869973
15,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,14,621,33,11169,0.006497266,0.006280342
16,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,15,558,33,10515,0.006895222,0.006670044
17,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,16,483,21,9924,0.007261118,0.007029655
18,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,17,435,42,9417,0.007607162,0.007370442
19,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,18,435,51,8937,0.007973713,0.007730281
20,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,19,351,39,8454,0.008290624,0.008043405
21,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,20,303,33,8061,0.00857875,0.008329081
22,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,21,288,27,7725,0.008867131,0.008614896
23,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,22,270,27,7410,0.009151519,0.008896814
24,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,23,255,42,7110,0.00943296,0.009175847
25,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,24,240,24,6813,0.009715181,0.009455594
26,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,25,201,15,6549,0.009963472,0.009702722
27,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,26,195,9,6330,0.01021365,0.009951602
28,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,27,171,24,6126,0.0104433,0.010180584
29,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,28,177,30,5931,0.010688734,0.010424779
30,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,29,153,39,5727,0.010910789,0.01064632
31,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,30,150,30,5532,0.011139107,0.010873916
32,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,31,138,30,5358,0.011360205,0.011094481
33,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,32,114,18,5187,0.011550994,0.011285469
34,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,33,132,27,5055,0.011776606,0.01151036
35,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,34,114,21,4899,0.011979479,0.011713099
36,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,35,96,39,4764,0.012158321,0.01189229
37,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,36,105,21,4629,0.012364862,0.012098578
38,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,37,108,21,4503,0.012585753,0.012318828
39,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,38,93,18,4371,0.012783857,0.01251684
40,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,39,96,24,4260,0.012991584,0.012724234
41,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,40,75,30,4140,0.0131642,0.012897216
42,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,41,93,27,4035,0.013386836,0.013119135
43,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,42,96,21,3912,0.013627307,0.013358397
44,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,43,75,21,3795,0.013820857,0.013551914
45,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,44,63,21,3699,0.0139947,0.013726068
46,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,45,51,21,3615,0.01414099,0.013873016
47,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,46,54,24,3543,0.014297488,0.014030041
48,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,47,78,33,3462,0.014525452,0.014257156
49,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,48,69,30,3351,0.014739575,0.014470794
50,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,49,72,27,3252,0.014973891,0.014704151
51,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,50,69,27,3153,0.015205534,0.01493493
52,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,51,66,18,3060,0.015448149,0.015176423
53,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,52,54,36,2970,0.015652141,0.015380202
54,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,53,54,27,2880,0.01585464,0.01558254
55,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,54,48,30,2802,0.016053573,0.015781387
56,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,55,57,30,2724,0.016291971,0.016018886
57,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,56,51,33,2640,0.016519554,0.016245853
58,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,57,48,30,2553,0.016749583,0.016475249
59,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,58,57,36,2475,0.017031075,0.01675482
60,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,59,75,30,2382,0.017415727,0.017133835
61,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,60,54,27,2280,0.017723984,0.017439587
62,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,61,51,24,2199,0.018013987,0.017727729
63,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,62,36,9,2124,0.018243977,0.017957342
64,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,63,39,33,2079,0.018494278,0.018206846
65,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,64,39,45,2007,0.018752446,0.018464103
66,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,65,24,33,1926,0.018941333,0.018653331
67,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,66,36,33,1866,0.019218204,0.018929024
68,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,67,30,24,1797,0.019454233,0.019164772
69,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,68,27,21,1746,0.01968461,0.019394989
70,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,69,24,27,1695,0.019916142,0.019626359
71,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,70,21,42,1641,0.020122454,0.019832896
72,"eth_maori=FALSE, snz_sex_gender_code=F",Learners to Restricted,71,18,69,1578,0.020323075,0.020033854
